Symbol,Company Name,Last Price,Change,% Change,Market Time,Volume,Avg Vol (3 month),Market Cap,Date
WTRX-USD,-,0.0725046,0,-0.046,4:09 AM UTC,1.76M,-,7.37B,3/22/2022
BCH-USD,-,376.15045,-1.54,-0.0041,4:10 AM UTC,4.88B,4.35B,7.16B,3/22/2022
STETH-USD,-,3458.9304,27.17,0.0079,4:09 AM UTC,2.48M,7.56M,6.97B,3/22/2022
FTT-USD,-,50.003403,-0.52,-0.0102,4:10 AM UTC,130.84M,171.77M,6.87B,3/22/2022
BTC-USD,-,46261.582,255.61,0.0056,12:23 AM UTC,25.66B,27.06B,879.06B,3/23/2022
ETH-USD,-,3509.6628,49.75,0.0144,12:23 AM UTC,15.33B,15.25B,421.98B,3/23/2022
USDT-USD,-,1.0002823,0,-0.0001,12:23 AM UTC,67.10B,60.24B,82.36B,3/23/2022
BNB-USD,-,446.37466,7.52,0.0171,12:23 AM UTC,2.12B,2.09B,73.70B,3/23/2022
USDC-USD,-,0.99987465,0,0.0004,12:23 AM UTC,3.35B,"1,815.07B",51.62B,3/23/2022
SOL-USD,-,135.53465,2.2,0.0165,12:23 AM UTC,2.56B,2.31B,44.16B,3/23/2022
XRP-USD,-,0.8399549,0.02,0.0187,12:23 AM UTC,1.34B,2.29B,40.43B,3/23/2022
ADA-USD,-,1.1790454,0.02,0.0148,12:23 AM UTC,971.78M,1.60B,39.78B,3/23/2022
LUNA1-USD,-,112.31045,-4.02,-0.0346,12:23 AM UTC,2.15B,2.52B,39.66B,3/23/2022
HEX-USD,-,0.15807657,0,0.0163,12:23 AM UTC,17.41M,19.85M,27.41B,3/23/2022
AVAX-USD,-,96.86714,0.3,0.0031,12:23 AM UTC,1.30B,1.22B,25.90B,3/23/2022
DOT-USD,-,23.088701,0.19,0.0083,12:23 AM UTC,1.10B,1.18B,22.80B,3/23/2022
DOGE-USD,-,0.14551988,0.01,0.0396,12:23 AM UTC,1.04B,874.12M,19.31B,3/23/2022
BUSD-USD,-,0.9995517,0,0.0009,12:23 AM UTC,4.75B,8.35B,17.78B,3/23/2022
UST-USD,-,1.0002406,0,-0.0005,12:23 AM UTC,323.61M,447.56M,16.57B,3/23/2022
SHIB-USD,-,2.67E-05,0,0.0237,12:23 AM UTC,909.60M,1.27B,14.64B,3/23/2022
MATIC-USD,-,1.6774284,0.02,0.0095,12:23 AM UTC,594.17M,1.17B,13.01B,3/23/2022
WBTC-USD,-,46363.703,374.52,0.0081,12:23 AM UTC,156.64M,221.86M,12.77B,3/23/2022
CRO-USD,-,0.47914025,0,-0.0031,12:23 AM UTC,76.80M,131.91M,12.10B,3/23/2022
NEAR-USD,-,16.721981,1.69,0.1127,12:23 AM UTC,1.64B,731.76M,11.04B,3/23/2022
DAI-USD,-,0.99937534,0,0.0002,12:23 AM UTC,261.71M,376.30M,9.50B,3/23/2022
ATOM-USD,-,32.071587,0.43,0.0136,12:23 AM UTC,1.44B,1.19B,9.18B,3/23/2022
LTC-USD,-,128.33727,2.89,0.0231,12:23 AM UTC,677.41M,915.53M,8.98B,3/23/2022
LINK-USD,-,17.91534,0.44,0.025,12:23 AM UTC,658.25M,1.03B,8.37B,3/23/2022
UNI1-USD,-,11.782256,-0.03,-0.0026,12:23 AM UTC,267.56M,262.54M,8.12B,3/23/2022
WTRX-USD,-,0.07295536,0,-0.0022,12:23 AM UTC,1.03M,-,7.42B,3/23/2022
TRX-USD,-,0.07278141,0,-0.0074,12:23 AM UTC,944.74M,1.01B,7.40B,3/23/2022
BCH-USD,-,376.8584,2.49,0.0067,12:23 AM UTC,4.79B,4.36B,7.17B,3/23/2022
STETH-USD,-,3507.8313,49.32,0.0143,12:23 AM UTC,306.04k,7.50M,7.07B,3/23/2022
FTT-USD,-,50.268143,0.28,0.0057,12:23 AM UTC,100.35M,171.47M,6.90B,3/23/2022
BTC-USD,-,46710.86,628.5,0.0136,3:13 AM UTC,31.11B,26.75B,887.65B,3/24/2022
ETH-USD,-,3521.358,17.72,0.0051,3:12 AM UTC,17.18B,15.23B,423.44B,3/24/2022
USDT-USD,-,1.0002047,0,-0.0001,3:12 AM UTC,77.65B,60.12B,82.40B,3/24/2022
BNB-USD,-,453.6097,7.93,0.0178,3:12 AM UTC,2.25B,2.08B,74.90B,3/24/2022
USDC-USD,-,0.99977154,0,0.0002,3:12 AM UTC,4.02B,"1,835.64B",51.52B,3/24/2022
SOL-USD,-,132.663,-3.9,-0.0286,3:12 AM UTC,2.74B,2.32B,43.19B,3/24/2022
LUNA1-USD,-,116.09439,0.61,0.0053,3:13 AM UTC,2.62B,2.53B,40.92B,3/24/2022
ADA-USD,-,1.2118589,0.03,0.0244,3:12 AM UTC,2.42B,1.60B,40.89B,3/24/2022
XRP-USD,-,0.8290565,-0.01,-0.0075,3:13 AM UTC,1.82B,2.29B,39.91B,3/24/2022
HEX-USD,-,0.14986354,0,-0.0093,3:12 AM UTC,30.24M,19.80M,25.99B,3/24/2022
AVAX-USD,-,96.46877,-1.14,-0.0117,3:12 AM UTC,1.20B,1.22B,25.79B,3/24/2022
DOT-USD,-,22.899944,-0.04,-0.0016,3:12 AM UTC,1.11B,1.18B,22.62B,3/24/2022
DOGE-USD,-,0.15107065,0.01,0.0398,3:13 AM UTC,2.37B,878.50M,20.04B,3/24/2022
BUSD-USD,-,1.00011,0,0.0013,3:11 AM UTC,5.67B,8.40B,17.75B,3/24/2022
UST-USD,-,1.000512,0,-0.0011,3:11 AM UTC,590.63M,451.64M,16.64B,3/24/2022
SHIB-USD,-,2.67E-05,0,-0.0042,3:12 AM UTC,1.03B,1.28B,14.68B,3/24/2022
WBTC-USD,-,46543.5,465.94,0.0101,3:11 AM UTC,157.98M,219.68M,12.81B,3/24/2022
MATIC-USD,-,1.6487803,-0.03,-0.0166,3:12 AM UTC,626.20M,1.15B,12.79B,3/24/2022
CRO-USD,-,0.48098108,0,0.0065,3:12 AM UTC,84.86M,129.30M,12.15B,3/24/2022
NEAR-USD,-,17.576454,0.62,0.0368,3:11 AM UTC,1.90B,727.60M,11.63B,3/24/2022
DAI-USD,-,1.0000845,0,0.0004,3:12 AM UTC,281.81M,371.36M,9.50B,3/24/2022
ATOM-USD,-,30.713049,-1.46,-0.0453,3:12 AM UTC,892.20M,1.17B,8.80B,3/24/2022
LTC-USD,-,125.46372,-1.01,-0.008,3:13 AM UTC,805.08M,909.82M,8.78B,3/24/2022
LINK-USD,-,17.492556,-0.25,-0.014,3:12 AM UTC,644.44M,982.45M,8.17B,3/24/2022
UNI1-USD,-,11.841844,0.04,0.0031,3:12 AM UTC,325.78M,257.33M,8.16B,3/24/2022
WTRX-USD,-,0.071429916,0,-0.007,3:11 AM UTC,1.70M,-,7.26B,3/24/2022
TRX-USD,-,0.07134268,0,-0.0111,3:12 AM UTC,1.56B,999.23M,7.25B,3/24/2022
BCH-USD,-,376.3191,-1.77,-0.0047,3:12 AM UTC,4.81B,4.35B,7.16B,3/24/2022
STETH-USD,-,3509.267,14.28,0.0041,3:11 AM UTC,286.80k,7.42M,7.07B,3/24/2022
FTT-USD,-,50.950333,0.85,0.017,3:13 AM UTC,127.88M,165.65M,7.00B,3/24/2022
BTC-USD,-,44341.316,-1593.05,-0.0347,2:56 PM UTC,37.62B,26.81B,842.68B,3/25/2022
ETH-USD,-,3268.6443,-187.33,-0.0542,2:56 PM UTC,23.10B,15.18B,393.11B,3/25/2022
USDT-USD,-,1.0002146,0,-0.0001,2:56 PM UTC,89.94B,60.34B,82.44B,3/25/2022
BNB-USD,-,427.27014,-24.45,-0.0541,2:56 PM UTC,2.32B,2.06B,70.55B,3/25/2022
USDC-USD,-,0.99978137,0,0.0006,2:56 PM UTC,5.17B,"1,815.05B",51.33B,3/25/2022
LUNA1-USD,-,109.65365,-6.91,-0.0593,2:56 PM UTC,3.13B,2.53B,38.58B,3/25/2022
SOL-USD,-,118.25348,-11.92,-0.0916,2:56 PM UTC,2.86B,2.33B,38.52B,3/25/2022
XRP-USD,-,0.7827314,-0.04,-0.0482,2:56 PM UTC,2.31B,2.28B,37.68B,3/25/2022
ADA-USD,-,1.110191,-0.08,-0.066,2:56 PM UTC,1.57B,1.61B,37.47B,3/25/2022
HEX-USD,-,0.13662152,-0.01,-0.0852,2:56 PM UTC,19.20M,19.88M,23.69B,3/25/2022
AVAX-USD,-,85.78203,-8.13,-0.0866,2:56 PM UTC,1.34B,1.22B,22.99B,3/25/2022
DOT-USD,-,20.663221,-1.59,-0.0713,2:56 PM UTC,1.08B,1.18B,20.41B,3/25/2022
DOGE-USD,-,0.14921317,-0.01,-0.0793,2:56 PM UTC,5.61B,944.68M,19.80B,3/25/2022
BUSD-USD,-,1.0007393,0,-0.0003,2:55 PM UTC,6.13B,8.38B,17.92B,3/25/2022
UST-USD,-,1.0001194,0,-0.0011,2:55 PM UTC,652.41M,456.63M,16.72B,3/25/2022
SHIB-USD,-,2.48E-05,0,-0.0626,2:56 PM UTC,1.92B,1.28B,13.63B,3/25/2022
WBTC-USD,-,44261.664,-1705.61,-0.0371,2:55 PM UTC,290.55M,217.07M,12.19B,3/25/2022
MATIC-USD,-,1.5044941,-0.12,-0.0739,2:56 PM UTC,818.62M,1.14B,11.67B,3/25/2022
CRO-USD,-,0.45130703,-0.02,-0.0479,2:56 PM UTC,74.20M,126.87M,11.40B,3/25/2022
NEAR-USD,-,15.967185,-0.77,-0.046,2:55 PM UTC,1.88B,741.98M,10.58B,3/25/2022
DAI-USD,-,0.9997441,0,0.0001,2:56 PM UTC,374.57M,367.37M,9.45B,3/25/2022
LTC-USD,-,116.17839,-8.13,-0.0654,2:56 PM UTC,920.12M,903.82M,8.13B,3/25/2022
ATOM-USD,-,27.827576,-2.25,-0.0749,2:56 PM UTC,797.80M,1.15B,7.97B,3/25/2022
LINK-USD,-,15.800984,-1.3,-0.0761,2:56 PM UTC,620.66M,948.77M,7.38B,3/25/2022
UNI1-USD,-,10.431444,-1,-0.0875,2:56 PM UTC,280.64M,255.53M,7.19B,3/25/2022
TRX-USD,-,0.0655371,0,-0.0632,2:56 PM UTC,1.50B,1.00B,6.66B,3/25/2022
WTRX-USD,-,0.06534998,0,-0.0664,2:55 PM UTC,2.27M,-,6.64B,3/25/2022
BCH-USD,-,345.7864,-26.62,-0.0715,2:56 PM UTC,4.76B,4.35B,6.58B,3/25/2022
STETH-USD,-,3264.4614,-180.6,-0.0524,2:55 PM UTC,358.05k,7.04M,6.58B,3/25/2022
FTT-USD,-,46.676548,-2.7,-0.0548,2:56 PM UTC,139.59M,163.37M,6.40B,3/25/2022
BTC-USD,-,43386.54,-1904.07,-0.042,4:38 AM UTC,38.30B,26.16B,824.56B,3/26/2022
ETH-USD,-,3199.9158,-148.74,-0.0444,4:38 AM UTC,24.10B,15.07B,384.87B,3/26/2022
USDT-USD,-,1.0002217,0,-0.0001,4:38 AM UTC,88.55B,60.09B,82.46B,3/26/2022
BNB-USD,-,426.9285,-15.4,-0.0348,4:38 AM UTC,2.24B,2.03B,70.49B,3/26/2022
USDC-USD,-,0.999753,0,0.0001,4:38 AM UTC,5.64B,"1,835.63B",51.03B,3/26/2022
LUNA1-USD,-,108.71438,-8.68,-0.0739,4:38 AM UTC,3.47B,2.52B,38.25B,3/26/2022
XRP-USD,-,0.774642,-0.04,-0.0449,4:38 AM UTC,2.40B,2.28B,37.29B,3/26/2022
SOL-USD,-,114.19004,-10.96,-0.0875,4:38 AM UTC,3.29B,2.32B,37.25B,3/26/2022
ADA-USD,-,1.0634507,-0.08,-0.0702,4:38 AM UTC,1.66B,1.61B,35.89B,3/26/2022
HEX-USD,-,0.13002208,-0.01,-0.0997,4:38 AM UTC,19.39M,19.75M,22.55B,3/26/2022
AVAX-USD,-,83.70849,-6.45,-0.0715,4:38 AM UTC,1.46B,1.22B,22.43B,3/26/2022
DOT-USD,-,19.988605,-1.52,-0.0706,4:38 AM UTC,1.13B,1.18B,19.74B,3/26/2022
DOGE-USD,-,0.14423873,-0.02,-0.1047,4:38 AM UTC,2.95B,944.40M,19.14B,3/26/2022
BUSD-USD,-,1.0004014,0,0.0012,4:37 AM UTC,5.87B,8.41B,17.74B,3/26/2022
UST-USD,-,1.0005398,0,0.0018,4:37 AM UTC,729.50M,457.76M,16.73B,3/26/2022
SHIB-USD,-,2.46E-05,0,-0.0566,4:38 AM UTC,1.11B,1.28B,13.52B,3/26/2022
WBTC-USD,-,43305.707,-1892.52,-0.0419,4:37 AM UTC,271.48M,214.81M,11.92B,3/26/2022
MATIC-USD,-,1.4672889,-0.11,-0.0693,4:38 AM UTC,828.82M,1.13B,11.38B,3/26/2022
CRO-USD,-,0.44387206,-0.02,-0.0481,4:38 AM UTC,83.17M,125.51M,11.21B,3/26/2022
NEAR-USD,-,15.318783,-1.15,-0.0698,4:37 AM UTC,2.14B,738.30M,10.16B,3/26/2022
DAI-USD,-,0.999813,0,-0.0001,4:38 AM UTC,453.41M,364.26M,9.40B,3/26/2022
LTC-USD,-,112.25005,-7.96,-0.0662,4:38 AM UTC,944.94M,898.58M,7.86B,3/26/2022
ATOM-USD,-,27.018534,-1.91,-0.0662,4:38 AM UTC,813.05M,1.12B,7.74B,3/26/2022
LINK-USD,-,15.431969,-0.97,-0.0593,4:38 AM UTC,644.28M,917.34M,7.21B,3/26/2022
UNI1-USD,-,10.021163,-0.86,-0.0792,4:38 AM UTC,277.26M,253.93M,6.90B,3/26/2022
TRX-USD,-,0.064090244,0,-0.0501,4:38 AM UTC,1.44B,994.25M,6.52B,3/26/2022
WTRX-USD,-,0.06388533,0,-0.051,4:37 AM UTC,3.01M,-,6.50B,3/26/2022
STETH-USD,-,3194.1726,-151,-0.0451,4:37 AM UTC,354.39k,5.90M,6.43B,3/26/2022
BCH-USD,-,334.08774,-22.98,-0.0644,4:38 AM UTC,4.60B,4.34B,6.36B,3/26/2022
FTT-USD,-,45.23451,-2.94,-0.0611,4:38 AM UTC,142.11M,162.11M,6.20B,3/26/2022
BTC-USD,-,42206.555,-595.55,-0.0139,2:15 AM UTC,19.13B,26.17B,802.28B,3/27/2022
ETH-USD,-,3194.4236,-62.37,-0.0191,2:15 AM UTC,11.17B,15.15B,384.38B,3/27/2022
USDT-USD,-,1.0003852,0,0.0001,2:15 AM UTC,45.93B,60.31B,82.57B,3/27/2022
ION-USD,-,5098.148,333.81,0.0701,2:14 AM UTC,2.40k,42,70.48B,3/27/2022
BNB-USD,-,416.61832,-10.25,-0.024,2:15 AM UTC,1.51B,1.93B,68.79B,3/27/2022
USDC-USD,-,0.9992469,0,-0.0005,2:15 AM UTC,2.51B,"1,835.63B",50.95B,3/27/2022
SOL-USD,-,111.159485,-1.37,-0.0121,2:15 AM UTC,1.35B,2.34B,36.46B,3/27/2022
XRP-USD,-,0.74926704,-0.02,-0.0197,2:15 AM UTC,1.15B,2.28B,36.07B,3/27/2022
ADA-USD,-,1.02201,-0.03,-0.0259,2:15 AM UTC,694.08M,1.60B,34.50B,3/27/2022
LUNA1-USD,-,90.55858,-5.38,-0.0561,2:15 AM UTC,1.66B,2.54B,32.14B,3/27/2022
HEX-USD,-,0.13211502,-0.01,-0.0405,2:15 AM UTC,14.99M,18.73M,22.91B,3/27/2022
AVAX-USD,-,79.91142,-4.65,-0.055,2:15 AM UTC,600.21M,1.24B,21.44B,3/27/2022
DOGE-USD,-,0.14986628,0,0.0083,2:15 AM UTC,1.83B,989.54M,19.88B,3/27/2022
DOT-USD,-,19.132908,-0.62,-0.0312,2:15 AM UTC,650.24M,1.18B,18.90B,3/27/2022
BUSD-USD,-,0.99936426,0,-0.0014,2:14 AM UTC,3.09B,8.43B,17.92B,3/27/2022
UST-USD,-,1.000138,0,-0.0001,2:14 AM UTC,407.56M,472.89M,16.73B,3/27/2022
SHIB-USD,-,2.45E-05,0,-0.017,2:15 AM UTC,627.52M,1.27B,13.44B,3/27/2022
WBTC-USD,-,42165.875,-592.68,-0.0139,2:14 AM UTC,131.50M,214.55M,11.63B,3/27/2022
MATIC-USD,-,1.4333988,-0.03,-0.0229,2:15 AM UTC,366.51M,1.08B,11.12B,3/27/2022
CRO-USD,-,0.43955147,0,-0.0096,2:15 AM UTC,38.89M,121.02M,11.10B,3/27/2022
NEAR-USD,-,15.919559,-1.44,-0.0831,2:14 AM UTC,1.06B,784.39M,10.61B,3/27/2022
DAI-USD,-,0.99908864,0,-0.0008,2:15 AM UTC,229.78M,357.26M,9.43B,3/27/2022
LTC-USD,-,110.06361,-2.55,-0.0227,2:15 AM UTC,547.29M,890.35M,7.71B,3/27/2022
ATOM-USD,-,26.283342,-1.01,-0.0369,2:15 AM UTC,318.21M,1.06B,7.53B,3/27/2022
LINK-USD,-,15.103492,-0.37,-0.0236,2:15 AM UTC,357.98M,801.31M,7.05B,3/27/2022
UNI1-USD,-,9.789055,-0.23,-0.0228,2:15 AM UTC,149.13M,249.03M,6.75B,3/27/2022
STETH-USD,-,3181.205,-70.44,-0.0217,2:14 AM UTC,176.85k,5.21M,6.41B,3/27/2022
TRX-USD,-,0.062218383,0,-0.0234,2:15 AM UTC,1.10B,998.29M,6.33B,3/27/2022
WTRX-USD,-,0.0620924,0,-0.0249,2:14 AM UTC,1.32M,-,6.31B,3/27/2022
FTT-USD,-,45.002926,-0.69,-0.015,2:15 AM UTC,53.39M,157.75M,6.17B,3/27/2022
